FOLIO ,AÑO,MES,FECHA,DIA ,HORA ,TIPO DE ACCIDENTE ,RESOLUCION,ORIGEN REPORTE,TIPO ASENTAMIENTO,NOMBRE ASENTAMIENTO,TIPO VIALIDAD,NOMBRE VIALIDAD ,GEORREFERENCIA
20085,2021,MARZO,2021-03-31,MIÉRCOLES,20:50:00,REVERSA,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,UNIVERSIDAD Y RAMON LOPEZ VELARDE,"25.739863,-100.302461"
24006,2021,JULIO,2021-07-30,VIERNES,18:38:00,DIVERSO,PERITAJES,RUTINA,COLONIA,FUTURO NOGALAR,CALLE,ISLAS DEL SUR Y LOPEZ MATEOS,"25.711702,-100.276892"
25696,2021,NOVIEMBRE,2021-11-22,LUNES,15:13:00,CRUCERO,FINIQUITADO,C4,COLONIA,CABECERA MUNICIPAL,CALLE,MORELOS Y LERDO DE TEJADA,"25.759431,-100.292966"
20381,2021,MARZO,2021-03-31,MIÉRCOLES,18:48:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,ANAHUAC,AVENIDA,UNIVERSIDAD Y DEL BOSQUE,"25.734095,-100.30458"
23753,2021,JULIO,2021-07-31,SÁBADO,01:06:00,ESTRELLAMIENTO MULTIPLE,PERITAJES,C4,COLONIA,LAS ALAMEDAS,CALLE,VALORES MORALES Y LOPEZ MATEOS,"25.766936,-100.26911"
26903,2021,NOVIEMBRE,2021-11-22,LUNES,17:30:00,ALCANCE,FINIQUITADO,,COLONIA,BALCONES DE SANTO DOMINGO,CALLE,SAN SANTIAGO Y DIEGO DIAZ,"25.738222,-100.267767"
19915,2021,MARZO,2021-03-31,MIÉRCOLES,12:42:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,LAS PUENTES,AVENIDA,SANTO DOMINGO Y MAGUEYES,"25.751909,-100.261517"
23981,2021,JULIO,2021-07-31,SÁBADO,07:29:00,CRUCERO,AMP,RUTINA,RESIDENCIAL,SAN FELIPE,CALLE,ANT CAM APODACA Y PEÑA GUERRA,"25.720092,-100.259443"
25697,2021,NOVIEMBRE,2021-11-22,LUNES,17:35:00,ALCANCE,FINIQUITADO,RUTINA,COLONIA,CUAUHTEMOC,AVENIDA,NOGALAR Y FAMOSA,"25.726338,-100.298384"
20057,2021,MARZO,2021-03-31,MIÉRCOLES,18:00:00,REVERSA,FINIQUITADO,911,COLONIA,ANAHUAC,AVENIDA,PALACIO DE JUSTICIA Y  FCO. VILLAPESA,"25.733307,-100.315409"
